LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 1.0
Lattice spacing in x,y,z = 1 1 1
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.5) to (20 20 0.5)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.5) to (20 20 0.5)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 31 31 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.055 | 3.055 | 3.055 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     81000   2.051263       0.94527083     0              2.9914057      20.709835    
     81500   2.0423913      0.92719229     0              2.9644776      21.322518    
     82000   2.0688071      0.93180854     0              2.9954436      21.322919    
     82500   2.047082       0.94413874     0              2.9861031      21.463111    
     83000   1.7711341      1.0150335      0              2.7817397      22.949311    
     83500   1.8725818      0.97547487     0              2.8433752      21.54644     
     84000   1.9737824      0.90672345     0              2.8755714      21.188828    
     84500   1.8358767      1.0486839      0              2.8799709      23.083462    
     85000   2.0121167      0.89918009     0              2.9062665      21.077029    
     85500   1.8553878      0.80742863     0              2.6581779      19.004199    
     86000   2.0187118      0.8561695      0              2.8698346      20.51555     
     86500   2.0189425      0.94555972     0              2.9594548      22.371111    
     87000   1.8662396      0.93892697     0              2.8005009      21.623887    
     87500   1.8619922      0.96446477     0              2.821802       21.901598    
     88000   1.9900527      0.90813417     0              2.8932117      21.180339    
     88500   1.8836831      0.96735242     0              2.8463263      22.208685    
     89000   1.8365336      0.94947569     0              2.781418       21.696786    
     89500   1.9393371      0.88296727     0              2.8174561      20.297289    
     90000   2.0155363      0.88082868     0              2.8913262      20.676827    
     90500   1.9003462      0.88679829     0              2.7823936      20.47435     
     91000   1.8835669      0.79068275     0              2.6695407      18.704913    
     91500   1.7870206      0.81401124     0              2.5965643      19.724833    
     92000   1.7865693      0.73386564     0              2.5159685      18.659509    
     92500   1.7378945      0.75725934     0              2.4908091      18.344914    
     93000   1.7359089      0.75651287     0              2.488082       18.400079    
     93500   1.637008       0.8027218      0              2.4356373      19.367437    
     94000   1.5663222      0.81098307     0              2.3733895      19.4723      
     94500   1.6745471      0.79120116     0              2.4615619      19.19749     
     95000   1.7342761      0.67901294     0              2.4089533      17.34975     
     95500   1.7440789      0.73407605     0              2.4737948      18.482986    
     96000   1.6153911      0.73051564     0              2.3418683      18.331158    
     96500   1.7227391      0.65062116     0              2.3690534      16.575299    
     97000   1.6015693      0.75321564     0              2.350781       18.410427    
     97500   1.6751012      0.7035517      0              2.3744652      17.459498    
     98000   1.5995998      0.7102032      0              2.305804       17.258003    
     98500   1.5892326      0.63509085     0              2.2203504      16.55112     
     99000   1.4270264      0.73981642     0              2.1632752      17.556752    
     99500   1.4487514      0.59791918     0              2.0430487      15.700661    
    100000   1.4633287      0.60319022     0              2.0628606      15.60744     
    100500   1.4668684      0.66142972     0              2.1246309      16.705865    
    101000   1.5277001      0.68987618     0              2.213757       17.897282    
    101500   1.692078       0.55487203     0              2.2427199      15.290824    
    102000   1.5331194      0.60522459     0              2.1345112      15.567261    
    102500   1.4486884      0.69374694     0              2.1388136      17.034575    
    103000   1.4246689      0.62670319     0              2.0478105      16.097967    
    103500   1.4326681      0.69488789     0              2.1239744      17.020584    
    104000   1.4977764      0.54477606     0              2.038808       14.991496    
    104500   1.4677868      0.62298477     0              2.0871021      15.918119    
    105000   1.388149       0.57608551     0              1.9607641      15.637551    
    105500   1.4086562      0.4792368      0              1.8843714      13.236324    
    106000   1.3854808      0.48117579     0              1.8631928      13.753979    
    106500   1.3451935      0.4837497      0              1.8255802      13.619831    
    107000   1.1606753      0.54880572     0              1.7065793      14.503137    
    107500   1.3053659      0.4708332      0              1.7729356      13.057435    
    108000   1.3288475      0.51751845     0              1.8430439      13.883554    
    108500   1.3534852      0.50594777     0              1.8560493      13.497244    
    109000   1.3429358      0.51715343     0              1.8567319      14.062273    
    109500   1.2926785      0.49405178     0              1.7834986      13.541717    
    110000   1.2460241      0.48635821     0              1.7292673      13.031808    
    110500   1.2656662      0.39784278     0              1.6603448      12.123362    
    111000   1.2590098      0.4331186      0              1.6889809      12.312997    
    111500   1.1800151      0.51455102     0              1.6916161      14.030563    
    112000   1.2073596      0.43651749     0              1.6408587      12.746024    
    112500   1.1371509      0.51523422     0              1.6495423      14.228391    
    113000   1.1035037      0.48844582     0              1.5891907      13.647146    
